category,vendor,product_name,price_vnd,usp,comparison_product,comparison_angle,sales_channel,payment_terms,content_notes
Do kho,Cty Mom Beauty,Banh hat hop 500g,140000,hop qua dinh duong tien loi vi ngot vua va nhieu hat,Banh quy cong nghiep 500g,doi chung ve qua tang an vat nhung it nguyen lieu hat,cua hang online,Cong no goi don,Noi ve hop qua lanh manh cho van phong va gia dinh
Do kho,Cty Mom Beauty,Sua hat dinh duong 500g,220000,thuc uong tu hat phu hop nguoi thich an uong lanh manh,Sua bo tiet trung 1L,doi chung ve thuc uong hang ngay nhung khac nguon nguyen lieu,cua hang online,Cong no goi don,Noi ve lua chon sua hat cho buoi sang
Do kho,Cty Mom Beauty,Sua hat giam kg 500g,220000,cong thuc huong den nguoi kiem soat can nang va can bua phu,Sua hat dinh duong pho thong,doi chung ve muc tieu su dung khong phai san pham giam can,cua hang online,Cong no goi don,Can tranh claim y te qua muc
Do kho,Cty Mom Beauty,Kho ga 250g,100000,an vat dam vi tien mang di lam hoac di choi,Snack khoai tay 250g,doi chung ve an vat nhung khac cam giac no va ham luong dam,cua hang online,Cong no goi don,Noi ve an vat co vi dam da
Do kho,Cty Chuoi,Bot chuoi Ocop 3 hop 12 tui 20g,96000,dong goi goi nho de pha nhanh va kiem soat khau phan,Bot ngu coc goi lon,doi chung ve cach dung nhung goi lon kho chia lieu,cua hang online,Cong no goi don,Noi ve goi nho tien cho buoi sang
Do kho,Cty Chuoi,Bot chuoi Ocop 3 tui 300g,120000,bot chuoi de pha do uong hoac lam mon phu hop gia dinh,Bot chuoi goi nho,doi chung ve dung thu va dung thuong xuyen,cua hang online,Cong no goi don,Noi ve lua chon dung thuong xuyen tai nha
Do kho,Cty Chuoi,Bot chuoi tieu xanh bia tan 240g hop,80000,vi chuoi tieu xanh de ket hop voi sua hat hoac ngu coc,Bot cacao pha san,doi chung ve do uong pha nhanh nhung khac huong vi,cua hang online,Cong no goi don,Noi ve cong thuc bua phu
Do kho,Cty Chuoi,Bot chuoi tieu xanh tui 300g,99000,tui 300g phu hop nguoi dung deu va muon tiet kiem,Bot chuoi hop nho,doi chung ve quy cach va chi phi moi lan dung,cua hang online,Cong no goi don,Noi ve mua theo nhu cau su dung
Do kho,Cty Chuoi,Bot chuoi ngu coc Ocop 3,65000,ket hop chuoi va ngu coc de lam bua phu nhanh,Banh an sang dong goi,doi chung ve bua phu tien loi,cua hang online,Cong no goi don,Noi ve bua phu nhanh cho nguoi ban ron
Do kho,Cty Chuoi,Chuoi say Ocop 3,90000,chuoi say tien loi de an vat hoac lam topping,Sandwich ngot dong goi,doi chung ve an nhanh nhung khac nguyen lieu trai cay,cua hang online,Cong no goi don,Noi ve an vat trai cay tu nhien
Do kho,HTX 19.5,Man bo hat say deo it duong 240g Ocop 4,75000,it duong phu hop nguoi thich vi trai cay deo nhung khong qua ngot,Mut trai cay nhieu duong,doi chung ve do ngot va cam giac sau khi an,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve it duong va qua vat lanh manh
Do kho,HTX 19.5,Man bo hat say deo mat ong 240g Ocop 4,75000,mat ong tao vi ngot diu va mui thom hon ban it duong,Man say deo it duong 240g,doi chung giua ngot diu va it ngot,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve chon vi theo khau vi
Do kho,HTX 19.5,Man co hat say deo gung tuoi 240g Ocop 4,75000,vi gung tao cam giac am va la mieng cho nguoi thich vi cay nhe,Man say deo mat ong,doi chung ve huong vi am cay va ngot diu,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve qua vat mua lanh hoac uong tra
Do kho,HTX 19.5,Man co hat say deo 200g Ocop 4,45000,quy cach nho de dung thu va lam qua tang nho,Man say deo 240g,doi chung ve gia vao dung tich,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve goi dung thu gia de tiep can
Do kho,HTX 19.5,Man co hat say deo mat ong 200g Ocop 4,50000,vi mat ong trong quy cach nho de lam qua tang nhe,Keo trai cay dong goi,doi chung ve qua ngot va nguyen lieu trai cay,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve qua tang nho cho dong nghiep
Do kho,HTX 19.5,Mo say deo mat ong gung 200g Ocop 4,50000,ket hop mo mat ong va gung tao vi chua ngot am nhe,Man say deo gung tuoi,doi chung giua qua mo va qua man,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve vi chua ngot la mieng
Do kho,HTX 19.5,Mo say deo mat ong gung 180g,50000,quy cach 180g vua an thu vua lam qua nho,Mo say deo 200g,doi chung ve quy cach va muc gia,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve lua chon tiet kiem
Do kho,HTX 19.5,Man bo hat say deo 180g,55000,hop nho nhung van giu trai cay deo phu hop dung thu,Man say deo 200g,doi chung ve size goi,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve goi dung thu
Do kho,HTX 19.5,Xoai say deo 150g,50000,xoai say deo co vi chua ngot quen thuoc de tiep can nhieu khach,Keo xoai dong goi,doi chung ve vi xoai nhung khac ket cau trai cay,cua hang online si hang qua,Ky hop dong nho hon 500 trieu,Noi ve qua vat chua ngot
Do kho,HTX Viet Cuong,Mien dong 200g Ocop 5,22000,mien dong ocop gia de tiep can phu hop bua an gia dinh,Mien kho pho thong,doi chung ve chung loai nhung khac chung nhan ocop,cua hang online,Cong no goi don,Noi ve bua an hang ngay va OCOP
Do kho,HTX Viet Cuong,Mien dong khoai lang 200g,22000,nguyen lieu khoai lang tao cau chuyen khac biet cho bua an,Mien dong Ocop 5,doi chung giua nguyen lieu khoai lang va mien dong,cua hang online,Cong no goi don,Noi ve bien tau mon mien
Do kho,HTX Viet Cuong,Mien dong san giay 200g,34000,san giay tao soi mien co do dai va cam giac an rieng,Mien dong khoai lang,doi chung ve chat lieu soi mien,cua hang online,Cong no goi don,Noi ve texture soi mien
Do kho,HTX Viet Cuong,Mien dong toi den 200g,55000,toii den tao diem nhan huong vi va cau chuyen dinh duong,Mien dong pho thong,doi chung ve huong vi dac biet va gia tri cam nhan,cua hang online,Cong no goi don,Can tranh claim suc khoe qua muc
Do kho,HTX Viet Cuong,Mien dong soi to 250g,30000,soi to phu hop mon xao lau hoac mon can do dai,Soi mien nho 200g,doi chung ve kich co soi va mon an phu hop,cua hang online,Cong no goi don,Noi ve chon soi mien theo mon
Do kho,HTX Chu Hien Phuoc,My chu trang 1kg,50000,goi 1kg phu hop gia dinh dung nhieu va chi phi hop ly,Mi goi an lien,doi chung ve bua nhanh nhung khac cach che bien,cua hang online,Cong no goi don,Noi ve lua chon cho bua gia dinh
Do kho,HTX Chu Hien Phuoc,My chu ngu sac 1kg Ocop 3,75000,mau sac bat mat phu hop mon an sang tao va qua tang,My chu trang 1kg,doi chung ve mau sac va gia tri trinh bay,cua hang online,Cong no goi don,Noi ve mon an dep mat cho tre em
Do kho,HTX Chu Hien Phuoc,My chu gao lut 1kg Ocop 3,75000,gao lut tao cam giac lanh manh hon cho nguoi an uong co y thuc,My chu trang 1kg,doi chung ve nguyen lieu va hinh anh lanh manh,cua hang online,Cong no goi don,Can tranh claim dieu tri
Do kho,HTX Phin Ho,Tra xanh Shan tuyet 500g,160000,tra shan tuyet 500g phu hop nguoi uong tra thuong xuyen,Tra xanh pho thong 500g,doi chung ve nguon goc vung cao va cam giac thuong tra,cua hang online si,Ky hop dong nho hon 500 trieu,Noi ve nguon goc va cach pha
Do kho,HTX Phin Ho,Set qua VIP Ocop 5,750000,set qua cao cap gom nhieu san pham phu hop tang doi tac,Hop qua pho thong,doi chung ve gia tri trinh bay va muc qua tang,cua hang online si,Ky hop dong nho hon 500 trieu,Noi ve qua tang doanh nghiep
Dong lanh,HTX Tam Da Bac,Xuc xich lon den 500g,110000,san pham dong lanh dac san de che bien nhanh,Ba roi xong khoi dong lanh,doi chung ve mon dam che bien nhanh,cua hang online,Cong no goi don,Noi ve mon nhanh cho bua toi
