day_index,date,time,channel,content_pillar,objective,audience,topic,angle,title,content,image_brief,hashtags,cta,approval_status,source_refs
1,2026-07-21,08:00,facebook,knowledge,reach,Khach hang dang tim hieu san pham,Mot bua com ngon co kho nhu ban nghi,Giai thich loi ich thuc te khong ban hang gat,Mot bua com ngon bat dau tu dieu rat nho,Chia se 3 tieu chi giup bua com ngon hon moi ngay: hat gao deu com deo va huong thom tu nhien. Noi dung nen khach quan de nguoi doc tu so sanh va dat cau hoi.,Anh san pham tren ban an gia dinh nen sang co 3 bullet loi ich,#gaoNgon #buaComGiaDinh #songKhoe,Ban thuong chon gao theo tieu chi nao,draft,notebook:product
2,2026-07-22,08:00,facebook,faq,education,Khach hang hoi ve chat luong,Cach nhan biet san pham phu hop,Tra loi cau hoi thuong gap bang ngon ngu don gian,3 dau hieu mot san pham phu hop voi gia dinh ban,Noi dung giai thich cach nhan biet nhu cau thuc te ngan sach va thoi quen su dung. Ket thuc bang cau hoi de keo binh luan.,Infographic 3 dau hieu chon san pham nen trang sach,#meoHay #chonSanPham #hoiDap,Neu can minh gui checklist lua chon cho ban,draft,notebook:faq
3,2026-07-23,08:00,facebook,review,reach,Khach hang thich so sanh,So sanh khach quan voi lua chon thong thuong,Dua bang tieu chi khong che doi thu,So sanh nhe de mua dung nhu cau,Viet bai so sanh theo 3 tieu chi: do ben gia tri su dung va su tien loi. Khong dung cau cong kich hay qua loi.,Anh 2 cot so sanh tieu chi co icon ro rang,#reviewKhachQuan #muaThongMinh #tuVan,Muon minh lam bang so sanh chi tiet hon khong,draft,notebook:product
4,2026-07-24,08:00,facebook,soft_sell,inbox,Khach hang co nhu cau mua lai,Nhac nhe ve uu dai hoac combo,Dua loi ich truoc gia sau,Combo phu hop cho tuan moi,Noi dung gioi thieu combo bang cach gan voi nhu cau hang ngay. CTA mem: inbox neu muon duoc goi y phu hop.,Anh combo san pham dat tren nen don gian co nhan uu dai nho,#comboTietKiem #goiYHomNay #inboxTuVan,Inbox minh de duoc goi y combo phu hop,draft,price_sheet:current
5,2026-07-25,08:00,facebook,case_study,lead,Cua hang muon tang niem tin,Cau chuyen khach hang thuc te,Ke chuyen truoc khi dua san pham,Cau chuyen nho tu mot khach hang quen,Ke mot tinh huong khach hang gap van de va cach san pham giup giai quyet. Giu thong tin rieng tu an toan khong neu PII.,Anh lifestyle co khach hang dang su dung san pham khong lo mat ro,#cauChuyenKhachHang #traiNghiemThat #niemTin,Ban co gap tinh huong tuong tu khong,draft,crm:feedback
6,2026-07-26,08:00,facebook,behind_scene,reach,Khach hang quan tam nguon goc,Hau truong chon loc san pham,Minh bach quy trinh,Hau truong truoc khi san pham len ke,Chia se quy trinh kiem tra dong goi hoac chon loc san pham. Noi dung tao niem tin nhung khong noi qua muc.,Anh hau truong dong goi kiem tra san pham anh sang tu nhien,#hauTruong #minhBach #chatLuong,Ban muon xem them buoc nao trong quy trinh,draft,notebook:process
7,2026-07-27,08:00,facebook,knowledge,education,Khach hang can kien thuc,Cach bao quan san pham,Dua meo thuc dung de luu bai,Meo bao quan de san pham luon tot,Noi dung dua 4 meo bao quan ngan gon de khach hang luu lai. Ket thuc bang loi moi share cho nguoi can.,Anh checklist 4 meo bao quan voi nen bep gia dinh,#meoBaoQuan #kienThucHuuIch #luuLai,Ban da thu cach nao trong so nay,draft,notebook:product
8,2026-07-28,08:00,facebook,faq,inbox,Khach hang dang can tu van,Nhung cau hoi truoc khi mua,Gom FAQ thanh bai de hoi dap,5 cau hoi nen tu tra loi truoc khi mua,Viet dang Q&A ngan: ai phu hop khi nao nen dung can luu y gi. CTA inbox de tu van rieng.,Anh Q&A card voi 5 cau hoi ngan,#faq #tuVanMuaHang #hoiDap,Comment cau hoi cua ban minh tra loi tiep,draft,notebook:faq
9,2026-07-29,08:00,facebook,review,reach,Khach hang moi,Review mot tinh nang noi bat,Noi ve trai nghiem thay vi quang cao,Mot diem nho lam trai nghiem tot hon,Viet review khach quan ve mot dac diem san pham va cach no tac dong den sinh hoat. Khong dung tu tot nhat.,Anh close-up tinh nang san pham voi caption ngan,#reviewSanPham #traiNghiem #songTienIch,Ban muon review them dac diem nao,draft,notebook:product
10,2026-07-30,08:00,facebook,soft_sell,lead,Khach hang quan tam gia,Goi y mua theo nhu cau,Dua 3 goi lua chon,Chon goi phu hop voi nhu cau cua ban,Noi dung chia 3 goi: dung thu tiet kiem va gia dinh. Moi goi neu nhu cau phu hop, khong ep mua.,Anh 3 goi san pham xep ngang co ten goi,#goiYLuaChon #muaDungNhuCau #tuVan,Nhap nhu cau cua ban minh goi y goi phu hop,draft,price_sheet:current
